	baseline_total	baseline_best	total	the_best	top_95	top_90	top_80
1	0.95991	0.015	1.44036	0.104	0.0	0.0	0.0
2	0.95958	0.025	1.58377	0.154	0.0	0.0	0.0
3	0.98458	0.016	1.65813	0.214	0.0	0.0	0.0
4	0.97329	0.012	1.69726	0.274	0.0	0.0	0.0
5	0.96504	0.021	1.71791	0.311	0.0	0.0	0.0
6	0.9494	0.021	1.72515	0.342	0.0	0.0	0.0
7	0.95698	0.017	1.73536	0.382	0.0	0.0	0.0
8	0.97098	0.021	1.73859	0.411	0.0	0.0	0.0
9	0.9743	0.018	1.74104	0.435	0.0	0.0	0.0
10	0.95327	0.025	1.73781	0.456	0.0	0.0	0.0
11	0.98422	0.017	1.7377	0.487	0.0	0.0	0.0
12	0.9679	0.022	1.73396	0.519	0.0	0.0	0.0
13	0.9671	0.024	1.72744	0.541	0.0	0.0	0.0
14	0.98293	0.02	1.72066	0.554	0.0	0.0	0.0
15	0.97549	0.016	1.71549	0.575	0.0	0.0	0.0
16	0.98164	0.019	1.70867	0.589	0.0	0.0	0.0
17	0.94508	0.029	1.69449	0.592	0.0	0.0	0.0
18	0.96605	0.027	1.68261	0.601	0.0	0.0	0.0
19	0.94897	0.021	1.67194	0.608	0.0	0.0	0.0
20	0.94588	0.018	1.66457	0.617	0.0	0.0	0.0
21	0.96149	0.023	1.65615	0.622	0.0	0.0	0.0
22	0.92187	0.013	1.65103	0.625	0.0	0.0	0.0
23	0.97369	0.013	1.64701	0.641	0.0	0.0	0.0
24	0.98451	0.018	1.64251	0.659	0.0	0.0	0.0
25	0.96227	0.018	1.63596	0.668	0.0	0.0	0.0
26	0.9478	0.013	1.63228	0.677	0.0	0.0	0.0
27	0.99519	0.023	1.62315	0.687	0.0	0.0	0.0
28	0.93742	0.019	1.61692	0.691	0.0	0.0	0.0
29	0.95461	0.012	1.61183	0.698	0.0	0.0	0.0
30	0.94202	0.023	1.60139	0.697	0.0	0.0	0.0
31	0.95432	0.015	1.59538	0.713	0.0	0.0	0.0
32	0.95778	0.016	1.58598	0.72	0.0	0.0	0.0
33	0.95832	0.017	1.57788	0.724	0.0	0.0	0.0
34	0.94278	0.017	1.56854	0.717	0.0	0.0	0.0
35	0.95917	0.019	1.56216	0.71	0.0	0.0	0.0
36	0.95292	0.016	1.55548	0.707	0.0	0.0	0.0
37	0.95553	0.019	1.5467	0.711	0.0	0.0	0.0
38	0.96798	0.019	1.53658	0.713	0.0	0.0	0.0
39	0.96974	0.024	1.524	0.702	0.0	0.0	0.0
40	0.95361	0.016	1.51724	0.708	0.0	0.0	0.0
41	0.95749	0.021	1.50905	0.699	0.0	0.0	0.0
42	0.96097	0.021	1.49783	0.692	0.0	0.0	0.0
43	0.93164	0.014	1.49123	0.69	0.0	0.0	0.0
44	0.94454	0.018	1.48283	0.682	0.0	0.0	0.0
45	0.95395	0.014	1.47619	0.687	0.0	0.0	0.0
46	0.95332	0.02	1.46739	0.683	0.0	0.0	0.0
47	0.96119	0.017	1.45946	0.678	0.0	0.0	0.0
48	0.95743	0.017	1.44978	0.676	0.0	0.0	0.0
49	0.95147	0.014	1.44174	0.672	0.0	0.0	0.0
50	0.95837	0.017	1.43136	0.669	0.0	0.0	0.0
51	0.96452	0.027	1.41479	0.656	0.0	0.0	0.0
52	0.96949	0.017	1.40755	0.647	0.0	0.0	0.0
53	0.96867	0.016	1.40047	0.645	0.0	0.0	0.0
54	0.9617	0.017	1.39164	0.636	0.0	0.0	0.0
55	0.96355	0.022	1.38243	0.627	0.0	0.0	0.0
56	0.96187	0.024	1.36786	0.613	0.0	0.0	0.0
57	0.95783	0.012	1.3614	0.609	0.0	0.0	0.0
58	0.97084	0.026	1.34645	0.598	0.0	0.0	0.0
59	0.9644	0.025	1.33478	0.588	0.0	0.0	0.0
60	0.9576	0.013	1.32731	0.582	0.0	0.0	0.0
61	0.95111	0.018	1.3182	0.572	0.0	0.0	0.0
62	0.98294	0.019	1.30878	0.562	0.0	0.0	0.0
63	0.96353	0.012	1.30159	0.567	0.0	0.0	0.0
64	0.95286	0.018	1.29268	0.559	0.0	0.0	0.0
65	0.97446	0.017	1.28361	0.548	0.0	0.0	0.0
66	0.9584	0.019	1.27534	0.541	0.0	0.0	0.0
67	0.93607	0.015	1.26776	0.533	0.0	0.0	0.0
68	0.95524	0.02	1.25769	0.526	0.0	0.0	0.0
69	0.96251	0.021	1.24849	0.511	0.0	0.0	0.0
70	0.9403	0.022	1.23935	0.495	0.0	0.0	0.0
71	0.96759	0.02	1.23063	0.481	0.0	0.0	0.0
72	0.94528	0.012	1.22475	0.476	0.0	0.0	0.0
73	0.97221	0.024	1.21461	0.459	0.0	0.0	0.0
74	0.94216	0.016	1.20842	0.45	0.0	0.0	0.0
75	0.95339	0.018	1.20126	0.444	0.0	0.0	0.0
76	0.9415	0.027	1.18929	0.42	0.0	0.0	0.0
77	0.96038	0.014	1.18177	0.41	0.0	0.0	0.0
78	0.96765	0.014	1.17551	0.401	0.0	0.0	0.0
79	0.98472	0.032	1.16151	0.373	0.0	0.0	0.0
80	0.93633	0.018	1.15424	0.361	0.0	0.0	0.0
81	0.95761	0.023	1.14265	0.341	0.0	0.0	0.0
82	0.96877	0.019	1.13272	0.327	0.0	0.0	0.0
83	0.93373	0.016	1.1255	0.314	0.0	0.0	0.0
84	0.96516	0.015	1.1193	0.302	0.0	0.0	0.0
85	0.93222	0.022	1.10866	0.281	0.0	0.0	0.0
86	0.94978	0.016	1.09758	0.27	0.0	0.0	0.0
87	0.94711	0.019	1.08747	0.254	0.0	0.0	0.0
88	0.94307	0.019	1.07891	0.235	0.0	0.0	0.0
89	0.96627	0.021	1.0665	0.216	0.0	0.0	0.0
90	0.9579	0.011	1.05927	0.206	0.0	0.0	0.0
91	0.95656	0.027	1.04406	0.181	0.0	0.0	0.0
92	0.95657	0.018	1.03441	0.163	0.0	0.0	0.0
93	0.97385	0.019	1.02554	0.146	0.0	0.0	0.0
94	0.97349	0.03	1.0124	0.116	0.0	0.0	0.0
95	0.95778	0.024	0.99976	0.094	0.0	0.0	0.0
96	0.96777	0.019	0.99119	0.075	0.0	0.0	0.0
97	0.96472	0.02	0.98175	0.055	0.0	0.0	0.0
98	0.95816	0.021	0.97131	0.035	0.0	0.0	0.0
99	0.97157	0.021	0.96283	0.015	0.0	0.0	0.0
100	0.96283	0.015	0.96283	0.015	0.0	0.0	0.0
